country,year,Exports_pct_GDP,GDP_USD,GDP_growth_pct,GDP_per_capita_USD,Imports_pct_GDP
Chile,1960,12.7427185864127,4211103676.74027,,516.487539077836,15.4531719203081
Chile,1961,11.1295189323154,4948564550.91046,5.51961070344885,594.436306222113,15.1503289855211
Chile,1962,11.0860645266395,5765971144.47142,3.93078479110629,678.584336588862,12.4990052475001
Chile,1963,12.0580300116494,5702520146.03167,5.68667190016438,657.719196593697,14.4813209854908
Chile,1964,12.0441503024268,6065708668.32735,2.46113427734542,685.970202891974,13.0054547352575
Chile,1965,13.1158083669341,6183988944.34606,0.670838636062939,686.123541995524,12.4998994144838
Chile,1966,14.1540048756479,7256882086.19585,11.4634218589357,790.361773771396,13.2305036077149
Chile,1967,13.8754979421584,7145068067.64138,3.58811073177469,764.265128656993,12.7482529350559
Chile,1968,13.5209343390996,7286820526.02462,3.57371701447551,765.847401648627,12.928223287391
Chile,1969,15.8956424620006,8456519044.38223,4.10317976748962,873.581889905917,13.9029335539525
Chile,1970,14.1746033324124,9261006540.15907,1.69447257971353,940.648345061287,13.7929856493329
Chile,1971,10.716133229753,10999807567.1235,9.57107393842624,1098.91469956231,11.9071577214351
Chile,1972,9.38247125248678,12057501634.979,-0.712365918422577,1185.04994801594,12.9175202354068
Chile,1973,12.9847521804698,17237336172.7878,-5.03775611682208,1666.99542750899,15.021111640386
Chile,1974,19.0915586902565,16584311220.1384,1.2495800122858,1578.5836760852,18.8677511752827
Chile,1975,23.5245398375081,7812161793.11971,-12.2737621533613,732.054406775965,25.923358919007
Chile,1976,23.521081168837,10523479088.8075,3.60469484521828,970.957314866348,19.9501867093647
Chile,1977,19.30299696202,14272711436.7475,11.1491944807539,1296.86854720323,21.5475743392562
Chile,1978,19.3577462434404,16373093553.7155,8.02682491365691,1465.45605636916,23.106810211322
Chile,1979,21.6869463205334,22249574627.6911,8.43582175738598,1962.08185606537,25.0388912491044
Chile,1980,21.2684484447529,29586676576.0951,8.17228334347537,2570.84311890682,25.9571089596973
Chile,1981,15.2466633451147,35180322211.2903,6.71863895635887,3012.3447816477,25.7169252809264
Chile,1982,18.4422561478579,19710229067.2864,-11.5020620535762,1663.28043251256,21.0569974463748
Chile,1983,23.1190708543507,20629678694.0684,-4.9352297090374,1715.40345654344,21.1194422235557
Chile,1984,22.4552872653066,19974595028.1582,3.98371018713553,1636.22476246476,24.0899983284355
Chile,1985,25.9350262014508,17933557359.8036,3.55239860775048,1446.80604557863,24.0398404776303
Chile,1986,26.8922386904566,19197818084.6757,5.40556438635799,1524.97809458987,24.3461205779226
Chile,1987,27.899127374623,22605488850.8981,6.73884253090458,1767.41389670161,25.4434311892634
Chile,1988,32.3093535908079,26174858613.8456,7.35081069623416,2013.53987790886,25.849759175512
Chile,1989,33.5152629480169,30101767991.1135,10.3583568690228,2277.84764297202,29.1124126998085
Chile,1990,32.2119449244153,33428580448.2715,3.59872304691744,2487.76829657299,28.9966928543665
Chile,1991,30.9848794845346,38232330917.2011,7.75620189312957,2798.34262413795,26.5226676793206
